MAR Score Classification,Taxonomic Group,Family,Genus,Common name,Species (Seafood Watch),Country or Region,Body of Water,Other Details,Sector,Method,Recommendation,Seafood Watch Score,Estimated_MAR_Score,MAR_Est_Reasoning,MAR_Est_Confidence,Notes,Est_Counts Since 2018,
Class 1 - Direct match,"Shrimps, prawns",Penaeidae,Litopenaeus,Whiteleg shrimp,Litopenaeus vannamei,Mexico,NA,NA,Aquaculture,Ponds,AVOID,2.64,2.64,Score given by Seafood Watch (species & country match),High,"Most shrimp farms in the GOC target Whiteleg shrimp and, to a much lesser extent, Blue shrimp (Litopenaeus stylirostris) or Brown shrimp (F. californiensis).",49743,
Class 3 - Within-country average of species,"Shrimps, prawns",Penaeidae,Farfantepenaeus,Brown shrimp,Farfantepenaeus californiensis,NA,NA,NA,Aquaculture,Ponds,NA,NA,2.64,Interpolated based on: Mexico score for Whiteleg shrimp (ponds),Medium-High,"Cannot find score for Blue shrimp aquaculture in the seafood watch database, but most shrimp aquaculture in the GOC is derived from Whiteleg shrimp ponds in the Sinaloa, Sonora, Nayarity region. Let's assume score for Whiteleg applies here.",NA,
Class 3 - Within-country average of species,"Shrimps, prawns",Penaeidae,Penaeus,Shrimp,Penaeus (Litpenaeus) spp.,NA,NA,NA,Aquaculture,NA,NA,NA,2.64,Interpolated based on: Mexico score for Whiteleg shrimp (ponds),Medium-High,Likely an outdated misnomer of Litopenaeus genus.,32928,
Class 2 - Global species value,Molluscs excl. Cephalopods,Pectinidae,Argopecten,Scallop,Argopecten spp.,Worldwide,NA,N/A,Aquaculture,Bottom culture,BEST CHOICE,6.71,6.71,Interpolated based on: Worldwide score for Argopecten spp. (bottom culture),Medium-High,Worldwide score for Argopecten spp. (bottom culture) available via Seafood Watch.,50,
Class 2 - Global species value,Molluscs excl. Cephalopods,Ostreidae,Crassostrea,Crassostrea oyster,"Crassostrea spp., Ostrea spp., Saccostrea spp.",Worldwide,NA,N/A,Aquaculture,Off-bottom culture,BEST CHOICE,6.69,6.69,Interpolated based on: Worldwide score for Crassostrea spp. (bottom culture),Medium-High,Worldwide score for Crassostrea spp. (bottom culture) available via Seafood Watch.,2826,
Class 5 - Global family value,Molluscs excl. Cephalopods,Veneridae,Dosinia,Venus clam,"Anadara spp., Cyclina spp., Mercenaria spp., Meretrix spp., Mya spp., Ruditapes spp., Sinonovacula spp., Venerupis spp.",Worldwide,NA,N/A,Aquaculture,Bottom culture,BEST CHOICE,6.82,6.82,Interpolated based on: Worldwide score for Veneridae taxa (bottom culture),Medium,"No Seafood Watch scores available for Megapitaria genus, but there are scores available for other Veneridae clams (Cyclina spp., Mercenaria spp., Meretrix spp., Ruditapes spp., Venerupis spp.) (bottom and off-bottom culture).",173,
Class 5 - Global family value,Molluscs excl. Cephalopods,Veneridae,Megapitaria,Chocolate clam,"Anadara spp., Cyclina spp., Mercenaria spp., Meretrix spp., Mya spp., Ruditapes spp., Sinonovacula spp., Venerupis spp.",Worldwide,NA,N/A,Aquaculture,Bottom culture,BEST CHOICE,6.82,6.82,Interpolated based on: Worldwide score for Veneridae taxa (bottom culture),Medium,"No Seafood Watch scores available for Megapitaria genus, but there are scores available for other Veneridae clams (Cyclina spp., Mercenaria spp., Meretrix spp., Ruditapes spp., Venerupis spp.) (bottom and off-bottom culture).",28,
Class 2B or 5 - Species value (different region),Molluscs excl. Cephalopods,Hiatellidae,Panopea,Geoduck clam,Panopea generosa,United States (Washington),NA,N/A,Aquaculture,Bottom culture,BEST CHOICE,7.64,7.64,Interpolated based on: USA score for Panopea generosa (bottom culture),Medium,"No scores available for Panopea in Mexico or Baja, but regional scores are available for the US and Canada. From what I know about geoduck mariculture in Mexico, its fairly sustainable, but probably less so than in the US or Canada.",164,No need to re-work the score for now… Go with USA score.
Assigned score based on Amberjack,Demersal marine fishes,Lutjanidae,Lutjanus,Snapper,NA,NA,NA,,,Marine net pen - confirmed,GOOD ALTERNATIVE,5.73,5.73,Assigned based on Mexican amberjack score,Low,No score (of any kind) available via Seafood Watch database.,212,
Ignore for now,Demersal marine fishes,Centropomidae,Centropomus,Snook,NA,NA,NA,,,Marine net pen - likely,,,,Ignore for now,NA,No score (of any kind) available via Seafood Watch database.,35,Exclude for now
Ignore for now,Demersal marine fishes,Sciaenidae,Cynoscion,Corvina,NA,NA,NA,,,Marine net pen - likely,,,,Ignore for now,NA,No score (of any kind) available via Seafood Watch database.,12,Exclude for now
Ignore for now,Demersal marine fishes,Sciaenidae,Totoaba,Totoaba,NA,NA,NA,,,Marine net pen - confirmed,,,,Ignore for now,NA,No score (of any kind) available via Seafood Watch database.,154,Exclude for now
